parameters,Values,Cost
AKT,3.566576705084351,1.2985300309700483
AKTp,2.6177381570957685,1.2985300309700483
GSK3,3.6383942528476134,1.2985300309700483
GSK3p,3.702569343687257,1.2985300309700483
JNK,4.794313378022728,1.2985300309700483
JNKp,1.4295690790501383,1.2985300309700483
p38,4.17673363673268,1.2985300309700483
p38p,3.5105075829811776,1.2985300309700483
FOXO1,3.7426802437568596,1.2985300309700483
FOXO1p,3.7908746748399573,1.2985300309700483
PDX1,3.27670721969591,1.2985300309700483
MAFA,3.8713719393611408,1.2985300309700483
k_AKT,4.055759468081134,1.2985300309700483
k_AKTp,0.23818243913964773,1.2985300309700483
k_AKT_JNK,0.2636642074858508,1.2985300309700483
k_GSK3,0.36782800836205704,1.2985300309700483
k_GSK3p,0.9557809712547906,1.2985300309700483
k_JNK_ROS,4.853197857480423,1.2985300309700483
k_JNK_upr,4.497470120782046,1.2985300309700483
k_p38_ROS,3.9508582836387185,1.2985300309700483
k_p38_upr,5.523418388737487,1.2985300309700483
k_MAPKp,1.7234560142796176,1.2985300309700483
k_FOXO1_AKTp,1.4999402649916593,1.2985300309700483
k_FOXO1p_MAPKp,1.374099718339013,1.2985300309700483
V_mPDX1,1.9608587000373237,1.2985300309700483
K_MAFA_PDX1,1.2905052862901585,1.2985300309700483
K_FOXO1_PDX1,3.192262467843774,1.2985300309700483
k_PDX1_FOXO1_efflux,0.17443103031583962,1.2985300309700483
k_GSK3_PDX1_pdeg,0.08386769886900064,1.2985300309700483
V_mMAFA,1.1894327345465292,1.2985300309700483
K_PDX1_MAFA,2.966079137623371,1.2985300309700483
K_FOXO1_MAFA,0.6247784753717438,1.2985300309700483
k_ROS_MAFA,0.04929864861100697,1.2985300309700483
k_GSK3_MAFA_pdeg,0.00720973970160293,1.2985300309700483
V_mINS,1.7040710211959444,1.2985300309700483
K_PDX1_INS,1.0186528656443212,1.2985300309700483
K_MAFA_INS,2.8697466109119647,1.2985300309700483
