parameters,Values,Cost
AKT,3.731376433003531,1.3101400494837452
AKTp,2.8099380896573614,1.3101400494837452
GSK3,3.917617839564233,1.3101400494837452
GSK3p,2.7974434244988435,1.3101400494837452
JNK,4.696360315657254,1.3101400494837452
JNKp,1.247092106468756,1.3101400494837452
p38,4.632011994733768,1.3101400494837452
p38p,3.8489621365943054,1.3101400494837452
FOXO1,3.828675392568916,1.3101400494837452
FOXO1p,3.8106465636940765,1.3101400494837452
PDX1,3.7675270705015844,1.3101400494837452
MAFA,3.8193996038974203,1.3101400494837452
k_AKT,3.994212847153006,1.3101400494837452
k_AKTp,0.36920962356619336,1.3101400494837452
k_AKT_JNK,0.22123252536571078,1.3101400494837452
k_GSK3,0.2648986634647646,1.3101400494837452
k_GSK3p,0.9310122419508788,1.3101400494837452
k_JNK_ROS,4.633564607687526,1.3101400494837452
k_JNK_upr,4.6401828364986235,1.3101400494837452
k_p38_ROS,4.3934692918612175,1.3101400494837452
k_p38_upr,5.441869857914909,1.3101400494837452
k_MAPKp,1.7983806931278499,1.3101400494837452
k_FOXO1_AKTp,1.2643873251431488,1.3101400494837452
k_FOXO1p_MAPKp,1.1524002258822659,1.3101400494837452
V_mPDX1,1.8218694620680442,1.3101400494837452
K_MAFA_PDX1,2.5669030369264814,1.3101400494837452
K_FOXO1_PDX1,4.247031518199253,1.3101400494837452
k_PDX1_FOXO1_efflux,0.15622721845576532,1.3101400494837452
k_GSK3_PDX1_pdeg,0.10074325495841316,1.3101400494837452
V_mMAFA,1.3296135301029741,1.3101400494837452
K_PDX1_MAFA,2.71630837620852,1.3101400494837452
K_FOXO1_MAFA,0.46408003395217506,1.3101400494837452
k_ROS_MAFA,0.028769496365088906,1.3101400494837452
k_GSK3_MAFA_pdeg,0.009582264018881181,1.3101400494837452
V_mINS,1.2053881504455939,1.3101400494837452
K_PDX1_INS,1.9492717948228055,1.3101400494837452
K_MAFA_INS,1.8712975152139566,1.3101400494837452
