parameters,Values,Cost
AKT,3.11072878146321,1.2974070927352135
AKTp,2.7660456746271596,1.2974070927352135
GSK3,2.799231415230581,1.2974070927352135
GSK3p,3.6726793572117993,1.2974070927352135
JNK,4.812415495493654,1.2974070927352135
JNKp,1.9091111949479649,1.2974070927352135
p38,4.467194021655915,1.2974070927352135
p38p,2.538822810841214,1.2974070927352135
FOXO1,3.85629561466125,1.2974070927352135
FOXO1p,3.735642334711476,1.2974070927352135
PDX1,3.3055266912254955,1.2974070927352135
MAFA,3.432324845103838,1.2974070927352135
k_AKT,3.451229613269846,1.2974070927352135
k_AKTp,0.24583499697514663,1.2974070927352135
k_AKT_JNK,0.19721415618056987,1.2974070927352135
k_GSK3,0.4132156927580197,1.2974070927352135
k_GSK3p,0.8589072411478545,1.2974070927352135
k_JNK_ROS,4.831790365294412,1.2974070927352135
k_JNK_upr,4.306024444096496,1.2974070927352135
k_p38_ROS,3.8179109471140706,1.2974070927352135
k_p38_upr,4.949289363489029,1.2974070927352135
k_MAPKp,1.689146671246492,1.2974070927352135
k_FOXO1_AKTp,1.79133315611006,1.2974070927352135
k_FOXO1p_MAPKp,0.9877580514953056,1.2974070927352135
V_mPDX1,1.601532019578574,1.2974070927352135
K_MAFA_PDX1,2.9213085645946757,1.2974070927352135
K_FOXO1_PDX1,3.3348358531263353,1.2974070927352135
k_PDX1_FOXO1_efflux,0.11974191266510849,1.2974070927352135
k_GSK3_PDX1_pdeg,0.09805589132206569,1.2974070927352135
V_mMAFA,1.1057778841050938,1.2974070927352135
K_PDX1_MAFA,2.7608011809734707,1.2974070927352135
K_FOXO1_MAFA,0.12095308471720861,1.2974070927352135
k_ROS_MAFA,0.03261040443723501,1.2974070927352135
k_GSK3_MAFA_pdeg,0.004370311641584899,1.2974070927352135
V_mINS,1.165272820716474,1.2974070927352135
K_PDX1_INS,2.8544704726014003,1.2974070927352135
K_MAFA_INS,2.110209699953931,1.2974070927352135
