parameters,Values,Cost
AKT,3.2707629680800796,1.3315352342580509
AKTp,2.5688532316356016,1.3315352342580509
GSK3,3.224837902447828,1.3315352342580509
GSK3p,3.7196817976248053,1.3315352342580509
JNK,4.157735006699785,1.3315352342580509
JNKp,1.609839937118801,1.3315352342580509
p38,4.286641111343401,1.3315352342580509
p38p,3.215705359234273,1.3315352342580509
FOXO1,3.8782074444277184,1.3315352342580509
FOXO1p,3.401707074484755,1.3315352342580509
PDX1,3.0392447867473993,1.3315352342580509
MAFA,3.117088879603326,1.3315352342580509
k_AKT,3.453164436523209,1.3315352342580509
k_AKTp,0.34976680018268613,1.3315352342580509
k_AKT_JNK,0.2080122711879379,1.3315352342580509
k_GSK3,0.4042065646246106,1.3315352342580509
k_GSK3p,0.9381308029944312,1.3315352342580509
k_JNK_ROS,4.71103014275589,1.3315352342580509
k_JNK_upr,4.50048896779706,1.3315352342580509
k_p38_ROS,4.753152853704686,1.3315352342580509
k_p38_upr,5.506954229832945,1.3315352342580509
k_MAPKp,1.8030806372182202,1.3315352342580509
k_FOXO1_AKTp,1.4449328923129592,1.3315352342580509
k_FOXO1p_MAPKp,1.0062869691066152,1.3315352342580509
V_mPDX1,1.300757279255808,1.3315352342580509
K_MAFA_PDX1,2.8646569710572374,1.3315352342580509
K_FOXO1_PDX1,3.7767504757344668,1.3315352342580509
k_PDX1_FOXO1_efflux,0.1529783271772624,1.3315352342580509
k_GSK3_PDX1_pdeg,0.0929874369040881,1.3315352342580509
V_mMAFA,2.023457087573536,1.3315352342580509
K_PDX1_MAFA,2.732259575175154,1.3315352342580509
K_FOXO1_MAFA,0.6419883187208759,1.3315352342580509
k_ROS_MAFA,0.03656568736003437,1.3315352342580509
k_GSK3_MAFA_pdeg,0.00771472433538994,1.3315352342580509
V_mINS,1.1235425420748557,1.3315352342580509
K_PDX1_INS,2.4172112819262233,1.3315352342580509
K_MAFA_INS,1.0534525089588684,1.3315352342580509
