parameters,Values,Cost
AKT,3.812777895253968,1.3775825900073526
AKTp,2.682792963013694,1.3775825900073526
GSK3,3.6923420537305303,1.3775825900073526
GSK3p,2.7278716777463687,1.3775825900073526
JNK,4.444257663107836,1.3775825900073526
JNKp,1.7847251107089053,1.3775825900073526
p38,4.1032560549566055,1.3775825900073526
p38p,3.858093232920965,1.3775825900073526
FOXO1,3.7455471869179795,1.3775825900073526
FOXO1p,3.757638697722289,1.3775825900073526
PDX1,3.865327947309217,1.3775825900073526
MAFA,3.8153189489713473,1.3775825900073526
k_AKT,4.966488820588879,1.3775825900073526
k_AKTp,0.3407005387967252,1.3775825900073526
k_AKT_JNK,0.2478668114848035,1.3775825900073526
k_GSK3,0.23938431172867694,1.3775825900073526
k_GSK3p,0.8868879066988802,1.3775825900073526
k_JNK_ROS,4.851051047396432,1.3775825900073526
k_JNK_upr,4.341803714664152,1.3775825900073526
k_p38_ROS,3.965117421311506,1.3775825900073526
k_p38_upr,5.470453355508611,1.3775825900073526
k_MAPKp,1.746024255871765,1.3775825900073526
k_FOXO1_AKTp,1.3688247801235698,1.3775825900073526
k_FOXO1p_MAPKp,0.9207197948738974,1.3775825900073526
V_mPDX1,1.1200324765761382,1.3775825900073526
K_MAFA_PDX1,2.3058158401216455,1.3775825900073526
K_FOXO1_PDX1,3.963194845705955,1.3775825900073526
k_PDX1_FOXO1_efflux,0.15934364441032395,1.3775825900073526
k_GSK3_PDX1_pdeg,0.08501920041160387,1.3775825900073526
V_mMAFA,2.5496754550648637,1.3775825900073526
K_PDX1_MAFA,2.7600144073116937,1.3775825900073526
K_FOXO1_MAFA,0.42607594612136584,1.3775825900073526
k_ROS_MAFA,0.055928986101539006,1.3775825900073526
k_GSK3_MAFA_pdeg,0.00643501146784622,1.3775825900073526
V_mINS,1.422696725529547,1.3775825900073526
K_PDX1_INS,1.4078617454419424,1.3775825900073526
K_MAFA_INS,2.415592091680176,1.3775825900073526
