parameters,Values,Cost
AKT,3.8465535659397134,1.3007042662745179
AKTp,2.6901628575740686,1.3007042662745179
GSK3,3.455075105580905,1.3007042662745179
GSK3p,3.8597337737316226,1.3007042662745179
JNK,4.137136170182505,1.3007042662745179
JNKp,1.5486170716130425,1.3007042662745179
p38,4.285702682086106,1.3007042662745179
p38p,2.4137177968136108,1.3007042662745179
FOXO1,3.4538164476442526,1.3007042662745179
FOXO1p,3.810823078925767,1.3007042662745179
PDX1,2.849375683099139,1.3007042662745179
MAFA,3.078414787383712,1.3007042662745179
k_AKT,3.4191296088145573,1.3007042662745179
k_AKTp,0.43210588923185284,1.3007042662745179
k_AKT_JNK,0.1910187222669967,1.3007042662745179
k_GSK3,0.28623632024202034,1.3007042662745179
k_GSK3p,0.768392229989585,1.3007042662745179
k_JNK_ROS,4.635532926637745,1.3007042662745179
k_JNK_upr,3.1807918159277455,1.3007042662745179
k_p38_ROS,3.290319987588805,1.3007042662745179
k_p38_upr,5.545532852075125,1.3007042662745179
k_MAPKp,1.6547222171684401,1.3007042662745179
k_FOXO1_AKTp,1.878437032941329,1.3007042662745179
k_FOXO1p_MAPKp,0.6055415554881941,1.3007042662745179
V_mPDX1,1.1821608984949419,1.3007042662745179
K_MAFA_PDX1,2.4360097854711515,1.3007042662745179
K_FOXO1_PDX1,2.2660026607628834,1.3007042662745179
k_PDX1_FOXO1_efflux,0.14943135954492082,1.3007042662745179
k_GSK3_PDX1_pdeg,0.10026587519423477,1.3007042662745179
V_mMAFA,2.2175226532360193,1.3007042662745179
K_PDX1_MAFA,2.8365966606777877,1.3007042662745179
K_FOXO1_MAFA,0.5883965260435972,1.3007042662745179
k_ROS_MAFA,0.046035374104484696,1.3007042662745179
k_GSK3_MAFA_pdeg,0.005765769514496755,1.3007042662745179
V_mINS,0.6709335585847467,1.3007042662745179
K_PDX1_INS,1.4760433330671814,1.3007042662745179
K_MAFA_INS,2.4191591896633713,1.3007042662745179
