parameters,Values,Cost
AKT,3.6809891972235493,1.307750285476142
AKTp,3.766007556042114,1.307750285476142
GSK3,3.34012155549308,1.307750285476142
GSK3p,3.0874044523570685,1.307750285476142
JNK,4.800068401019769,1.307750285476142
JNKp,1.8907164861085748,1.307750285476142
p38,4.229124380053448,1.307750285476142
p38p,3.2740535921976726,1.307750285476142
FOXO1,3.7384929615540377,1.307750285476142
FOXO1p,3.7957517214197134,1.307750285476142
PDX1,3.0980912769002487,1.307750285476142
MAFA,3.5664779568922964,1.307750285476142
k_AKT,4.785118670256406,1.307750285476142
k_AKTp,0.3468255911924911,1.307750285476142
k_AKT_JNK,0.27882431243420536,1.307750285476142
k_GSK3,0.2666975709388344,1.307750285476142
k_GSK3p,0.9079070449056706,1.307750285476142
k_JNK_ROS,4.130432824961357,1.307750285476142
k_JNK_upr,3.564854912445583,1.307750285476142
k_p38_ROS,2.7192408325864608,1.307750285476142
k_p38_upr,5.091056525550944,1.307750285476142
k_MAPKp,1.384310949250432,1.307750285476142
k_FOXO1_AKTp,1.629299844575314,1.307750285476142
k_FOXO1p_MAPKp,1.2339883367565707,1.307750285476142
V_mPDX1,1.9585054236523423,1.307750285476142
K_MAFA_PDX1,1.8076242082440646,1.307750285476142
K_FOXO1_PDX1,2.8566001184096006,1.307750285476142
k_PDX1_FOXO1_efflux,0.10509303553611933,1.307750285476142
k_GSK3_PDX1_pdeg,0.1008067295466631,1.307750285476142
V_mMAFA,1.598518431687756,1.307750285476142
K_PDX1_MAFA,2.9297169142373427,1.307750285476142
K_FOXO1_MAFA,0.6412112388127308,1.307750285476142
k_ROS_MAFA,0.07690103154713678,1.307750285476142
k_GSK3_MAFA_pdeg,0.004823239143023397,1.307750285476142
V_mINS,1.229999075596869,1.307750285476142
K_PDX1_INS,1.9423380018890724,1.307750285476142
K_MAFA_INS,2.3891002519065485,1.307750285476142
