parameters,Values,Cost
AKT,3.668157699562338,1.306024850091697
AKTp,2.535699941732911,1.306024850091697
GSK3,2.8923487898215763,1.306024850091697
GSK3p,3.540683803674928,1.306024850091697
JNK,4.781370228290967,1.306024850091697
JNKp,1.8893965054656943,1.306024850091697
p38,4.9040606380621625,1.306024850091697
p38p,3.1528987930309276,1.306024850091697
FOXO1,3.892146627931896,1.306024850091697
FOXO1p,3.3853668640938186,1.306024850091697
PDX1,3.078120378588059,1.306024850091697
MAFA,3.479830442495673,1.306024850091697
k_AKT,4.130505925913664,1.306024850091697
k_AKTp,0.13966763848007097,1.306024850091697
k_AKT_JNK,0.25126530922441226,1.306024850091697
k_GSK3,0.4227364319908527,1.306024850091697
k_GSK3p,0.9677149064984547,1.306024850091697
k_JNK_ROS,4.6887586579517775,1.306024850091697
k_JNK_upr,4.657349922402081,1.306024850091697
k_p38_ROS,3.147634266915528,1.306024850091697
k_p38_upr,5.687157301074859,1.306024850091697
k_MAPKp,1.4038340397661493,1.306024850091697
k_FOXO1_AKTp,1.6349809184153286,1.306024850091697
k_FOXO1p_MAPKp,0.7503454041879409,1.306024850091697
V_mPDX1,1.4448346311056712,1.306024850091697
K_MAFA_PDX1,2.8318836261969254,1.306024850091697
K_FOXO1_PDX1,4.461993035972288,1.306024850091697
k_PDX1_FOXO1_efflux,0.12267703476923672,1.306024850091697
k_GSK3_PDX1_pdeg,0.09656093021253413,1.306024850091697
V_mMAFA,1.7286235548258593,1.306024850091697
K_PDX1_MAFA,2.479676161269677,1.306024850091697
K_FOXO1_MAFA,0.5686314562810832,1.306024850091697
k_ROS_MAFA,0.07318601115136719,1.306024850091697
k_GSK3_MAFA_pdeg,0.002810898063027531,1.306024850091697
V_mINS,1.0080691483892852,1.306024850091697
K_PDX1_INS,1.802396991113241,1.306024850091697
K_MAFA_INS,2.326057366441481,1.306024850091697
