parameters,Values,Cost
AKT,4.1721941367282325,1.2936498679013677
AKTp,3.683036509906456,1.2936498679013677
GSK3,3.487365471870815,1.2936498679013677
GSK3p,3.4810028748638433,1.2936498679013677
JNK,4.93474809021993,1.2936498679013677
JNKp,1.7923380299094245,1.2936498679013677
p38,4.84452189743381,1.2936498679013677
p38p,3.3782597163300507,1.2936498679013677
FOXO1,3.881710662198142,1.2936498679013677
FOXO1p,3.5580669960772986,1.2936498679013677
PDX1,3.5529707790748075,1.2936498679013677
MAFA,3.27373586295397,1.2936498679013677
k_AKT,4.649499423408137,1.2936498679013677
k_AKTp,0.30152823032854076,1.2936498679013677
k_AKT_JNK,0.24571939647458665,1.2936498679013677
k_GSK3,0.2756634028599478,1.2936498679013677
k_GSK3p,0.9547542762671057,1.2936498679013677
k_JNK_ROS,4.898067107563956,1.2936498679013677
k_JNK_upr,3.723979693267488,1.2936498679013677
k_p38_ROS,3.0821063236764474,1.2936498679013677
k_p38_upr,5.727850417467124,1.2936498679013677
k_MAPKp,1.5242851466791205,1.2936498679013677
k_FOXO1_AKTp,1.6674974422020583,1.2936498679013677
k_FOXO1p_MAPKp,0.9851560005440292,1.2936498679013677
V_mPDX1,1.7424717951402946,1.2936498679013677
K_MAFA_PDX1,2.961926442137203,1.2936498679013677
K_FOXO1_PDX1,4.632851939311078,1.2936498679013677
k_PDX1_FOXO1_efflux,0.1287985904988677,1.2936498679013677
k_GSK3_PDX1_pdeg,0.09508217996805732,1.2936498679013677
V_mMAFA,1.581870240829834,1.2936498679013677
K_PDX1_MAFA,2.8931922581765654,1.2936498679013677
K_FOXO1_MAFA,0.6262069861545619,1.2936498679013677
k_ROS_MAFA,0.052159406868739974,1.2936498679013677
k_GSK3_MAFA_pdeg,0.007098764137187633,1.2936498679013677
V_mINS,1.1097626970889212,1.2936498679013677
K_PDX1_INS,2.645717352451316,1.2936498679013677
K_MAFA_INS,2.065313556897937,1.2936498679013677
