parameters,Values,Cost
AKT,3.603003005418595,1.2974118241571682
AKTp,2.542610057226995,1.2974118241571682
GSK3,3.528058148881919,1.2974118241571682
GSK3p,3.8179953050121176,1.2974118241571682
JNK,4.0162765446213475,1.2974118241571682
JNKp,1.516404702167426,1.2974118241571682
p38,4.201397452007369,1.2974118241571682
p38p,3.444279703759094,1.2974118241571682
FOXO1,3.9161204311823257,1.2974118241571682
FOXO1p,3.4914070976965674,1.2974118241571682
PDX1,3.2040120909252914,1.2974118241571682
MAFA,3.637855519508626,1.2974118241571682
k_AKT,4.103467048193787,1.2974118241571682
k_AKTp,0.33687492315430484,1.2974118241571682
k_AKT_JNK,0.2707472857267135,1.2974118241571682
k_GSK3,0.30045925703373993,1.2974118241571682
k_GSK3p,0.7503108965542147,1.2974118241571682
k_JNK_ROS,4.531324806879934,1.2974118241571682
k_JNK_upr,4.532687804620059,1.2974118241571682
k_p38_ROS,2.87585484998665,1.2974118241571682
k_p38_upr,4.566503495043284,1.2974118241571682
k_MAPKp,1.382473636061481,1.2974118241571682
k_FOXO1_AKTp,1.5927336118526716,1.2974118241571682
k_FOXO1p_MAPKp,1.4567096409932092,1.2974118241571682
V_mPDX1,1.5978905832705352,1.2974118241571682
K_MAFA_PDX1,2.731461197953492,1.2974118241571682
K_FOXO1_PDX1,3.764658915267261,1.2974118241571682
k_PDX1_FOXO1_efflux,0.11811354581715343,1.2974118241571682
k_GSK3_PDX1_pdeg,0.08785581599144587,1.2974118241571682
V_mMAFA,2.7041573348819434,1.2974118241571682
K_PDX1_MAFA,2.711753666971876,1.2974118241571682
K_FOXO1_MAFA,0.3736968408661384,1.2974118241571682
k_ROS_MAFA,0.08467742785107858,1.2974118241571682
k_GSK3_MAFA_pdeg,0.006412878450320993,1.2974118241571682
V_mINS,1.8786034957309612,1.2974118241571682
K_PDX1_INS,2.819288224991346,1.2974118241571682
K_MAFA_INS,2.177840285513224,1.2974118241571682
