parameters,Values,Cost
AKT,3.091946837370451,1.3516213111234934
AKTp,2.406918647091975,1.3516213111234934
GSK3,3.8980905282025384,1.3516213111234934
GSK3p,3.654857802987236,1.3516213111234934
JNK,4.796105588935946,1.3516213111234934
JNKp,1.9185051767672594,1.3516213111234934
p38,4.667961322496611,1.3516213111234934
p38p,3.792284957917872,1.3516213111234934
FOXO1,3.3434885056259147,1.3516213111234934
FOXO1p,3.2303758631975428,1.3516213111234934
PDX1,3.80582823051454,1.3516213111234934
MAFA,3.8512067260518217,1.3516213111234934
k_AKT,4.879942873486248,1.3516213111234934
k_AKTp,0.3000628268311178,1.3516213111234934
k_AKT_JNK,0.27386398190811223,1.3516213111234934
k_GSK3,0.32879077340382346,1.3516213111234934
k_GSK3p,0.800088485177652,1.3516213111234934
k_JNK_ROS,4.857948764288828,1.3516213111234934
k_JNK_upr,4.921657830224631,1.3516213111234934
k_p38_ROS,3.4674062834583235,1.3516213111234934
k_p38_upr,5.071837452547244,1.3516213111234934
k_MAPKp,1.4349945893193599,1.3516213111234934
k_FOXO1_AKTp,1.8198074792581405,1.3516213111234934
k_FOXO1p_MAPKp,1.2550173263784459,1.3516213111234934
V_mPDX1,1.7706594610694153,1.3516213111234934
K_MAFA_PDX1,2.2352800361607623,1.3516213111234934
K_FOXO1_PDX1,4.070227767285116,1.3516213111234934
k_PDX1_FOXO1_efflux,0.11957267120788935,1.3516213111234934
k_GSK3_PDX1_pdeg,0.08838012475863273,1.3516213111234934
V_mMAFA,1.6097974856014996,1.3516213111234934
K_PDX1_MAFA,2.651401459828241,1.3516213111234934
K_FOXO1_MAFA,0.7551218664458569,1.3516213111234934
k_ROS_MAFA,0.06785494805175134,1.3516213111234934
k_GSK3_MAFA_pdeg,0.009622559640857998,1.3516213111234934
V_mINS,0.9735543002460811,1.3516213111234934
K_PDX1_INS,1.4264024075325343,1.3516213111234934
K_MAFA_INS,2.3570314134510864,1.3516213111234934
