parameters,Values,Cost
AKT,4.895775370282391,1.3180455503340545
AKTp,3.8287057489605743,1.3180455503340545
GSK3,3.2503058892244656,1.3180455503340545
GSK3p,3.345224248070452,1.3180455503340545
JNK,4.868707371328171,1.3180455503340545
JNKp,1.912402167694449,1.3180455503340545
p38,4.412802991551964,1.3180455503340545
p38p,3.722085960527159,1.3180455503340545
FOXO1,3.7992403842523683,1.3180455503340545
FOXO1p,3.7203975323145326,1.3180455503340545
PDX1,3.678965884480769,1.3180455503340545
MAFA,3.776227672074407,1.3180455503340545
k_AKT,4.905979074359218,1.3180455503340545
k_AKTp,0.39288533244311286,1.3180455503340545
k_AKT_JNK,0.26172359694691594,1.3180455503340545
k_GSK3,0.2647148334033409,1.3180455503340545
k_GSK3p,0.969744010259398,1.3180455503340545
k_JNK_ROS,4.795586336969279,1.3180455503340545
k_JNK_upr,4.199172033467355,1.3180455503340545
k_p38_ROS,4.573099254049251,1.3180455503340545
k_p38_upr,5.415211684341205,1.3180455503340545
k_MAPKp,1.9780147355220694,1.3180455503340545
k_FOXO1_AKTp,1.5803015227924457,1.3180455503340545
k_FOXO1p_MAPKp,1.4401011394480556,1.3180455503340545
V_mPDX1,1.3795259855965731,1.3180455503340545
K_MAFA_PDX1,2.5121634401030453,1.3180455503340545
K_FOXO1_PDX1,4.044980951400795,1.3180455503340545
k_PDX1_FOXO1_efflux,0.13927697012629658,1.3180455503340545
k_GSK3_PDX1_pdeg,0.08632498519842545,1.3180455503340545
V_mMAFA,2.711440757598663,1.3180455503340545
K_PDX1_MAFA,2.882493423326061,1.3180455503340545
K_FOXO1_MAFA,0.47864574617448347,1.3180455503340545
k_ROS_MAFA,0.07201193821758264,1.3180455503340545
k_GSK3_MAFA_pdeg,0.007283641553415866,1.3180455503340545
V_mINS,1.8650915878028453,1.3180455503340545
K_PDX1_INS,2.7956825529499723,1.3180455503340545
K_MAFA_INS,2.2853344117667724,1.3180455503340545
