parameters,Values,Cost
AKT,3.978910049334571,1.3155336680349903
AKTp,3.408849399253084,1.3155336680349903
GSK3,2.679877369358155,1.3155336680349903
GSK3p,3.879412704169755,1.3155336680349903
JNK,4.709190295852978,1.3155336680349903
JNKp,1.7709867425084678,1.3155336680349903
p38,4.858995792081311,1.3155336680349903
p38p,2.4769964334702124,1.3155336680349903
FOXO1,3.9161562635677294,1.3155336680349903
FOXO1p,3.8313961863069323,1.3155336680349903
PDX1,3.766174363250714,1.3155336680349903
MAFA,3.4632089340118593,1.3155336680349903
k_AKT,3.7926860670705227,1.3155336680349903
k_AKTp,0.3344077827513399,1.3155336680349903
k_AKT_JNK,0.23062458669771246,1.3155336680349903
k_GSK3,0.4112623071534582,1.3155336680349903
k_GSK3p,0.9839404735717955,1.3155336680349903
k_JNK_ROS,4.814424787753394,1.3155336680349903
k_JNK_upr,4.110368459613284,1.3155336680349903
k_p38_ROS,4.026151197738327,1.3155336680349903
k_p38_upr,5.96881030507239,1.3155336680349903
k_MAPKp,1.8443779267025018,1.3155336680349903
k_FOXO1_AKTp,1.3934633149949653,1.3155336680349903
k_FOXO1p_MAPKp,1.1507140360770334,1.3155336680349903
V_mPDX1,1.853667743194843,1.3155336680349903
K_MAFA_PDX1,2.893687274850844,1.3155336680349903
K_FOXO1_PDX1,3.4232000123580697,1.3155336680349903
k_PDX1_FOXO1_efflux,0.1275207681057471,1.3155336680349903
k_GSK3_PDX1_pdeg,0.09277765813674874,1.3155336680349903
V_mMAFA,2.2823725649767757,1.3155336680349903
K_PDX1_MAFA,2.693015754423425,1.3155336680349903
K_FOXO1_MAFA,0.6899051506179972,1.3155336680349903
k_ROS_MAFA,0.07241350243203187,1.3155336680349903
k_GSK3_MAFA_pdeg,0.004544908185933718,1.3155336680349903
V_mINS,1.4474755940483792,1.3155336680349903
K_PDX1_INS,2.475557326570048,1.3155336680349903
K_MAFA_INS,2.6376759420613047,1.3155336680349903
