parameters,Values,Cost
AKT,4.248913043666631,1.2896070772463983
AKTp,3.2106540180117533,1.2896070772463983
GSK3,3.6373637373232315,1.2896070772463983
GSK3p,3.481725171377112,1.2896070772463983
JNK,4.817010727732781,1.2896070772463983
JNKp,1.7988726739781942,1.2896070772463983
p38,4.5898807527827525,1.2896070772463983
p38p,2.8159549236136585,1.2896070772463983
FOXO1,3.6084204363096593,1.2896070772463983
FOXO1p,3.813390388629975,1.2896070772463983
PDX1,3.631918811687172,1.2896070772463983
MAFA,3.8761670754407853,1.2896070772463983
k_AKT,4.817812167980044,1.2896070772463983
k_AKTp,0.3966175358036831,1.2896070772463983
k_AKT_JNK,0.24050625355747898,1.2896070772463983
k_GSK3,0.22992301229597176,1.2896070772463983
k_GSK3p,0.7746102732970225,1.2896070772463983
k_JNK_ROS,4.829738855736742,1.2896070772463983
k_JNK_upr,4.807943546617397,1.2896070772463983
k_p38_ROS,3.2366427525947676,1.2896070772463983
k_p38_upr,5.321892172020847,1.2896070772463983
k_MAPKp,1.6507918276938671,1.2896070772463983
k_FOXO1_AKTp,1.614131263810585,1.2896070772463983
k_FOXO1p_MAPKp,1.39692232478094,1.2896070772463983
V_mPDX1,1.3370921723750675,1.2896070772463983
K_MAFA_PDX1,2.6127786883017627,1.2896070772463983
K_FOXO1_PDX1,3.8702513154561546,1.2896070772463983
k_PDX1_FOXO1_efflux,0.10518601219132971,1.2896070772463983
k_GSK3_PDX1_pdeg,0.08699550102402862,1.2896070772463983
V_mMAFA,2.4166156641299943,1.2896070772463983
K_PDX1_MAFA,2.518204250401247,1.2896070772463983
K_FOXO1_MAFA,0.9492485920390507,1.2896070772463983
k_ROS_MAFA,0.07197175412405765,1.2896070772463983
k_GSK3_MAFA_pdeg,0.008740939640340423,1.2896070772463983
V_mINS,1.799370040300272,1.2896070772463983
K_PDX1_INS,2.210659340976193,1.2896070772463983
K_MAFA_INS,2.7028938659829085,1.2896070772463983
