parameters,Values,Cost
AKT,3.4940109909738717,1.3333540228028793
AKTp,3.7854482142548624,1.3333540228028793
GSK3,2.505332582137581,1.3333540228028793
GSK3p,3.239208254093651,1.3333540228028793
JNK,4.638526153106429,1.3333540228028793
JNKp,1.9660976497767018,1.3333540228028793
p38,4.327642989845537,1.3333540228028793
p38p,3.288358495008937,1.3333540228028793
FOXO1,3.633796576283653,1.3333540228028793
FOXO1p,3.5665455049848025,1.3333540228028793
PDX1,2.151487641982615,1.3333540228028793
MAFA,3.0861914416579728,1.3333540228028793
k_AKT,3.398755900294101,1.3333540228028793
k_AKTp,0.4584096975116189,1.3333540228028793
k_AKT_JNK,0.16717189548435202,1.3333540228028793
k_GSK3,0.3475913235865563,1.3333540228028793
k_GSK3p,0.9090568330125511,1.3333540228028793
k_JNK_ROS,4.706675695175285,1.3333540228028793
k_JNK_upr,3.9520674489544767,1.3333540228028793
k_p38_ROS,4.131407406096144,1.3333540228028793
k_p38_upr,4.935538276541543,1.3333540228028793
k_MAPKp,1.8145871486532255,1.3333540228028793
k_FOXO1_AKTp,1.9572987036991247,1.3333540228028793
k_FOXO1p_MAPKp,1.2936876514423774,1.3333540228028793
V_mPDX1,1.4936157557394727,1.3333540228028793
K_MAFA_PDX1,2.7982471652876915,1.3333540228028793
K_FOXO1_PDX1,2.513062374818209,1.3333540228028793
k_PDX1_FOXO1_efflux,0.13387199718628004,1.3333540228028793
k_GSK3_PDX1_pdeg,0.08931526265257318,1.3333540228028793
V_mMAFA,2.430455094787517,1.3333540228028793
K_PDX1_MAFA,2.7732448776751015,1.3333540228028793
K_FOXO1_MAFA,0.6500566510506801,1.3333540228028793
k_ROS_MAFA,0.06029545996161523,1.3333540228028793
k_GSK3_MAFA_pdeg,0.0035007559431561135,1.3333540228028793
V_mINS,0.8192749168463648,1.3333540228028793
K_PDX1_INS,1.2962762872639537,1.3333540228028793
K_MAFA_INS,2.521825682181249,1.3333540228028793
