parameters,Values,Cost
AKT,4.695344878762874,1.2941821194688012
AKTp,3.3840982980189493,1.2941821194688012
GSK3,2.4404149343240786,1.2941821194688012
GSK3p,3.6922756748547862,1.2941821194688012
JNK,4.134704425446008,1.2941821194688012
JNKp,1.6879353625280547,1.2941821194688012
p38,4.267895860202737,1.2941821194688012
p38p,2.893644931753417,1.2941821194688012
FOXO1,3.530205604658756,1.2941821194688012
FOXO1p,3.430919587821239,1.2941821194688012
PDX1,3.534768982810411,1.2941821194688012
MAFA,3.6584689267921444,1.2941821194688012
k_AKT,4.338952125067679,1.2941821194688012
k_AKTp,0.4558658028868673,1.2941821194688012
k_AKT_JNK,0.2534657986252406,1.2941821194688012
k_GSK3,0.21899584432470723,1.2941821194688012
k_GSK3p,0.5531181165421015,1.2941821194688012
k_JNK_ROS,4.3697892156735785,1.2941821194688012
k_JNK_upr,4.436922391890705,1.2941821194688012
k_p38_ROS,2.506435891073023,1.2941821194688012
k_p38_upr,4.95536623143807,1.2941821194688012
k_MAPKp,1.4278247363730647,1.2941821194688012
k_FOXO1_AKTp,1.6362925956637295,1.2941821194688012
k_FOXO1p_MAPKp,1.3699289728101272,1.2941821194688012
V_mPDX1,1.4383099057095619,1.2941821194688012
K_MAFA_PDX1,2.1549667487796325,1.2941821194688012
K_FOXO1_PDX1,3.0775973434816346,1.2941821194688012
k_PDX1_FOXO1_efflux,0.15082583265663227,1.2941821194688012
k_GSK3_PDX1_pdeg,0.09374113118724961,1.2941821194688012
V_mMAFA,2.0241746724679617,1.2941821194688012
K_PDX1_MAFA,2.886530771329093,1.2941821194688012
K_FOXO1_MAFA,0.5499771336611825,1.2941821194688012
k_ROS_MAFA,0.06273229389384796,1.2941821194688012
k_GSK3_MAFA_pdeg,0.007238489191378033,1.2941821194688012
V_mINS,1.398907421339961,1.2941821194688012
K_PDX1_INS,2.3638271537156554,1.2941821194688012
K_MAFA_INS,1.889181147633695,1.2941821194688012
