parameters,Values,Cost
AKT,3.9175105506746775,1.3450385616626885
AKTp,3.9302830606875974,1.3450385616626885
GSK3,2.9024432134364906,1.3450385616626885
GSK3p,3.813070008750381,1.3450385616626885
JNK,4.726787246183605,1.3450385616626885
JNKp,1.899609760002082,1.3450385616626885
p38,4.868673278422497,1.3450385616626885
p38p,2.7904045057788855,1.3450385616626885
FOXO1,3.9356964866906465,1.3450385616626885
FOXO1p,3.6483146862383595,1.3450385616626885
PDX1,2.8107792575817294,1.3450385616626885
MAFA,3.753283282942844,1.3450385616626885
k_AKT,4.9779502221312,1.3450385616626885
k_AKTp,0.4596092768540084,1.3450385616626885
k_AKT_JNK,0.2810156763926072,1.3450385616626885
k_GSK3,0.3343655825347973,1.3450385616626885
k_GSK3p,0.9334392821430104,1.3450385616626885
k_JNK_ROS,4.815498913774001,1.3450385616626885
k_JNK_upr,4.231920348496362,1.3450385616626885
k_p38_ROS,4.04198322126006,1.3450385616626885
k_p38_upr,5.34626444769978,1.3450385616626885
k_MAPKp,1.8825024568063258,1.3450385616626885
k_FOXO1_AKTp,1.6904984965666734,1.3450385616626885
k_FOXO1p_MAPKp,1.2820586659856015,1.3450385616626885
V_mPDX1,1.609274732519037,1.3450385616626885
K_MAFA_PDX1,2.601567160364001,1.3450385616626885
K_FOXO1_PDX1,4.246801701701812,1.3450385616626885
k_PDX1_FOXO1_efflux,0.11779256521309125,1.3450385616626885
k_GSK3_PDX1_pdeg,0.08570208343594662,1.3450385616626885
V_mMAFA,2.2026235030344665,1.3450385616626885
K_PDX1_MAFA,2.873937090568876,1.3450385616626885
K_FOXO1_MAFA,0.1766132914089413,1.3450385616626885
k_ROS_MAFA,0.08295344404294949,1.3450385616626885
k_GSK3_MAFA_pdeg,0.007539017710882641,1.3450385616626885
V_mINS,1.0911159620240891,1.3450385616626885
K_PDX1_INS,2.319123761102535,1.3450385616626885
K_MAFA_INS,2.6968306455206577,1.3450385616626885
