parameters,Values,Cost
AKT,4.128201178304472,1.3399299340889959
AKTp,3.637641143246272,1.3399299340889959
GSK3,3.778153175585915,1.3399299340889959
GSK3p,3.9716399310457766,1.3399299340889959
JNK,4.982078992503261,1.3399299340889959
JNKp,1.5863929258959075,1.3399299340889959
p38,4.879119915655482,1.3399299340889959
p38p,3.648483280684719,1.3399299340889959
FOXO1,3.5406788443505586,1.3399299340889959
FOXO1p,3.841723439885081,1.3399299340889959
PDX1,3.081378300678552,1.3399299340889959
MAFA,3.772734015485287,1.3399299340889959
k_AKT,4.523224856105707,1.3399299340889959
k_AKTp,0.40594943994833216,1.3399299340889959
k_AKT_JNK,0.24392593573459365,1.3399299340889959
k_GSK3,0.2733622388258433,1.3399299340889959
k_GSK3p,0.8950031297790754,1.3399299340889959
k_JNK_ROS,4.729181882876195,1.3399299340889959
k_JNK_upr,4.6806173355375575,1.3399299340889959
k_p38_ROS,4.16221799238646,1.3399299340889959
k_p38_upr,5.530748911205852,1.3399299340889959
k_MAPKp,1.6069536305969543,1.3399299340889959
k_FOXO1_AKTp,1.7453035314540761,1.3399299340889959
k_FOXO1p_MAPKp,1.1840645104408916,1.3399299340889959
V_mPDX1,1.7029663924349914,1.3399299340889959
K_MAFA_PDX1,2.9425870948766275,1.3399299340889959
K_FOXO1_PDX1,3.2479619166118447,1.3399299340889959
k_PDX1_FOXO1_efflux,0.11613878799432012,1.3399299340889959
k_GSK3_PDX1_pdeg,0.10233107754638542,1.3399299340889959
V_mMAFA,2.8869025000886457,1.3399299340889959
K_PDX1_MAFA,2.812773696514995,1.3399299340889959
K_FOXO1_MAFA,0.8385598835557121,1.3399299340889959
k_ROS_MAFA,0.06599217460414095,1.3399299340889959
k_GSK3_MAFA_pdeg,0.008729735793213256,1.3399299340889959
V_mINS,1.1221341733483956,1.3399299340889959
K_PDX1_INS,2.5938139580070496,1.3399299340889959
K_MAFA_INS,2.663969508050825,1.3399299340889959
