parameters,Values,Cost
AKT,3.4354527474275094,1.2880671306779827
AKTp,2.4417183084027267,1.2880671306779827
GSK3,3.8043884254773057,1.2880671306779827
GSK3p,3.768389677081715,1.2880671306779827
JNK,4.889584991978913,1.2880671306779827
JNKp,1.9068078961659662,1.2880671306779827
p38,4.1676415534937945,1.2880671306779827
p38p,3.8475683367610176,1.2880671306779827
FOXO1,3.493625844673608,1.2880671306779827
FOXO1p,3.8711149118312784,1.2880671306779827
PDX1,2.5075310293375956,1.2880671306779827
MAFA,3.1170348878777925,1.2880671306779827
k_AKT,4.49648753736674,1.2880671306779827
k_AKTp,0.17639561689859254,1.2880671306779827
k_AKT_JNK,0.276367396344607,1.2880671306779827
k_GSK3,0.3655145855745867,1.2880671306779827
k_GSK3p,0.9272033653028217,1.2880671306779827
k_JNK_ROS,4.360651457542177,1.2880671306779827
k_JNK_upr,3.107509253452596,1.2880671306779827
k_p38_ROS,3.071815999459284,1.2880671306779827
k_p38_upr,5.135267534230811,1.2880671306779827
k_MAPKp,1.4669551168288975,1.2880671306779827
k_FOXO1_AKTp,1.4980578464685348,1.2880671306779827
k_FOXO1p_MAPKp,0.9070075697201087,1.2880671306779827
V_mPDX1,1.112033603925015,1.2880671306779827
K_MAFA_PDX1,1.5040548661828976,1.2880671306779827
K_FOXO1_PDX1,2.471231572944517,1.2880671306779827
k_PDX1_FOXO1_efflux,0.11042289329289753,1.2880671306779827
k_GSK3_PDX1_pdeg,0.09921810096098233,1.2880671306779827
V_mMAFA,1.3813492746498417,1.2880671306779827
K_PDX1_MAFA,2.6967784927529985,1.2880671306779827
K_FOXO1_MAFA,0.5792240394525056,1.2880671306779827
k_ROS_MAFA,0.030837466337313643,1.2880671306779827
k_GSK3_MAFA_pdeg,0.008604989657560421,1.2880671306779827
V_mINS,1.0982257648589098,1.2880671306779827
K_PDX1_INS,1.6062662320286039,1.2880671306779827
K_MAFA_INS,1.4730740754174874,1.2880671306779827
