parameters,Values,Cost
AKT,4.6023447464753895,1.3807098564678721
AKTp,3.746169774034752,1.3807098564678721
GSK3,3.815697137516543,1.3807098564678721
GSK3p,3.8289066823435665,1.3807098564678721
JNK,4.589640330226645,1.3807098564678721
JNKp,1.8927163435938275,1.3807098564678721
p38,3.902740909651702,1.3807098564678721
p38p,3.9227955681675732,1.3807098564678721
FOXO1,3.8871105203013747,1.3807098564678721
FOXO1p,3.2736481451899277,1.3807098564678721
PDX1,2.721994507009863,1.3807098564678721
MAFA,3.866409877462904,1.3807098564678721
k_AKT,4.199245977233456,1.3807098564678721
k_AKTp,0.887156497775839,1.3807098564678721
k_AKT_JNK,0.18166008695629376,1.3807098564678721
k_GSK3,0.2104615391710828,1.3807098564678721
k_GSK3p,0.7911629871909951,1.3807098564678721
k_JNK_ROS,4.810196131829205,1.3807098564678721
k_JNK_upr,0.5439880812699255,1.3807098564678721
k_p38_ROS,2.7220204432900936,1.3807098564678721
k_p38_upr,2.367769577164993,1.3807098564678721
k_MAPKp,1.4629189212402633,1.3807098564678721
k_FOXO1_AKTp,1.8980486185172993,1.3807098564678721
k_FOXO1p_MAPKp,1.9400471858198005,1.3807098564678721
V_mPDX1,1.9954075039338472,1.3807098564678721
K_MAFA_PDX1,2.958370225415363,1.3807098564678721
K_FOXO1_PDX1,4.538905363205905,1.3807098564678721
k_PDX1_FOXO1_efflux,0.12214246048853544,1.3807098564678721
k_GSK3_PDX1_pdeg,0.08291114720078821,1.3807098564678721
V_mMAFA,2.0493854726876606,1.3807098564678721
K_PDX1_MAFA,2.803338639558277,1.3807098564678721
K_FOXO1_MAFA,0.29857190237188735,1.3807098564678721
k_ROS_MAFA,0.06811208258686698,1.3807098564678721
k_GSK3_MAFA_pdeg,0.008811877145293277,1.3807098564678721
V_mINS,0.8832297142493523,1.3807098564678721
K_PDX1_INS,2.292588189101786,1.3807098564678721
K_MAFA_INS,2.805912787459478,1.3807098564678721
