parameters,Values,Cost
AKT,3.6870143598451888,1.3081757040959734
AKTp,3.197382163132122,1.3081757040959734
GSK3,3.8165550736288965,1.3081757040959734
GSK3p,3.576932287862347,1.3081757040959734
JNK,4.961758051571632,1.3081757040959734
JNKp,1.4269198247740977,1.3081757040959734
p38,4.820664070371643,1.3081757040959734
p38p,3.646002007479395,1.3081757040959734
FOXO1,3.7307556659471386,1.3081757040959734
FOXO1p,3.882834430238017,1.3081757040959734
PDX1,3.5786608802676096,1.3081757040959734
MAFA,3.5937419177535697,1.3081757040959734
k_AKT,3.2324518022236597,1.3081757040959734
k_AKTp,0.4317093816871414,1.3081757040959734
k_AKT_JNK,0.15550131485198987,1.3081757040959734
k_GSK3,0.29001669385843276,1.3081757040959734
k_GSK3p,0.9203894257940564,1.3081757040959734
k_JNK_ROS,4.605722044778352,1.3081757040959734
k_JNK_upr,4.721543348257278,1.3081757040959734
k_p38_ROS,4.094517422355534,1.3081757040959734
k_p38_upr,5.737382173423248,1.3081757040959734
k_MAPKp,1.7943307798261325,1.3081757040959734
k_FOXO1_AKTp,1.8513258754597681,1.3081757040959734
k_FOXO1p_MAPKp,1.3952742790462314,1.3081757040959734
V_mPDX1,1.7875656542609348,1.3081757040959734
K_MAFA_PDX1,2.8807242822623254,1.3081757040959734
K_FOXO1_PDX1,3.381954683197891,1.3081757040959734
k_PDX1_FOXO1_efflux,0.1373924902813697,1.3081757040959734
k_GSK3_PDX1_pdeg,0.08419989497040019,1.3081757040959734
V_mMAFA,2.7425753400669635,1.3081757040959734
K_PDX1_MAFA,2.5263261952559266,1.3081757040959734
K_FOXO1_MAFA,0.7417099938299857,1.3081757040959734
k_ROS_MAFA,0.07027147490705837,1.3081757040959734
k_GSK3_MAFA_pdeg,0.009532667954108566,1.3081757040959734
V_mINS,1.7220977166767983,1.3081757040959734
K_PDX1_INS,2.611101321574512,1.3081757040959734
K_MAFA_INS,2.766346561528192,1.3081757040959734
