parameters,Values,Cost
AKT,3.5759276311800003,1.3456027734291993
AKTp,3.1959272950276914,1.3456027734291993
GSK3,2.60921905949949,1.3456027734291993
GSK3p,3.527465012167253,1.3456027734291993
JNK,4.691989124498743,1.3456027734291993
JNKp,1.5195252851373537,1.3456027734291993
p38,4.833823090633476,1.3456027734291993
p38p,3.64606971062244,1.3456027734291993
FOXO1,3.7874850644167615,1.3456027734291993
FOXO1p,3.9164008456048633,1.3456027734291993
PDX1,3.815935391525086,1.3456027734291993
MAFA,3.855393573697908,1.3456027734291993
k_AKT,3.646288058385527,1.3456027734291993
k_AKTp,0.1989695850327696,1.3456027734291993
k_AKT_JNK,0.23405373696379617,1.3456027734291993
k_GSK3,0.3273848911558563,1.3456027734291993
k_GSK3p,0.8090464802604764,1.3456027734291993
k_JNK_ROS,4.763982456616149,1.3456027734291993
k_JNK_upr,4.948890341085203,1.3456027734291993
k_p38_ROS,3.671430879928489,1.3456027734291993
k_p38_upr,5.644064360954564,1.3456027734291993
k_MAPKp,1.8683486075550333,1.3456027734291993
k_FOXO1_AKTp,1.4579615030524842,1.3456027734291993
k_FOXO1p_MAPKp,1.2171817287883548,1.3456027734291993
V_mPDX1,1.8772764803400095,1.3456027734291993
K_MAFA_PDX1,2.6418500681881905,1.3456027734291993
K_FOXO1_PDX1,4.6852167685344925,1.3456027734291993
k_PDX1_FOXO1_efflux,0.15614844574196207,1.3456027734291993
k_GSK3_PDX1_pdeg,0.08177296283464595,1.3456027734291993
V_mMAFA,1.7301325072424174,1.3456027734291993
K_PDX1_MAFA,2.919487972665849,1.3456027734291993
K_FOXO1_MAFA,0.6799992842066753,1.3456027734291993
k_ROS_MAFA,0.057798272010449514,1.3456027734291993
k_GSK3_MAFA_pdeg,0.004749549174975517,1.3456027734291993
V_mINS,1.9411203993575474,1.3456027734291993
K_PDX1_INS,2.9062796064733623,1.3456027734291993
K_MAFA_INS,2.2571578704294994,1.3456027734291993
