parameters,Values,Cost
AKT,4.035201673184148,1.364246226661368
AKTp,3.6559155598900297,1.364246226661368
GSK3,2.7857415412859208,1.364246226661368
GSK3p,3.990033796649853,1.364246226661368
JNK,4.528521028079953,1.364246226661368
JNKp,1.6705845608639598,1.364246226661368
p38,4.727574727531302,1.364246226661368
p38p,3.5762735368600995,1.364246226661368
FOXO1,3.6538866803335592,1.364246226661368
FOXO1p,3.8292883076730773,1.364246226661368
PDX1,2.576260161632909,1.364246226661368
MAFA,3.4704669543192534,1.364246226661368
k_AKT,4.522945782982992,1.364246226661368
k_AKTp,0.46993401281268177,1.364246226661368
k_AKT_JNK,0.2907936880338112,1.364246226661368
k_GSK3,0.24037113753078226,1.364246226661368
k_GSK3p,0.6233183603910136,1.364246226661368
k_JNK_ROS,4.856207337621219,1.364246226661368
k_JNK_upr,3.4441252650692054,1.364246226661368
k_p38_ROS,4.275893425966432,1.364246226661368
k_p38_upr,5.703076734690273,1.364246226661368
k_MAPKp,1.8784469303172238,1.364246226661368
k_FOXO1_AKTp,1.5870469620893168,1.364246226661368
k_FOXO1p_MAPKp,1.1265533349309897,1.364246226661368
V_mPDX1,1.5488992751149337,1.364246226661368
K_MAFA_PDX1,2.7632358764859206,1.364246226661368
K_FOXO1_PDX1,4.703837634323344,1.364246226661368
k_PDX1_FOXO1_efflux,0.10512282198193548,1.364246226661368
k_GSK3_PDX1_pdeg,0.08677324733985886,1.364246226661368
V_mMAFA,1.573124017001053,1.364246226661368
K_PDX1_MAFA,2.7314948535206476,1.364246226661368
K_FOXO1_MAFA,0.5466078188441316,1.364246226661368
k_ROS_MAFA,0.05864080931888235,1.364246226661368
k_GSK3_MAFA_pdeg,0.0068814766219832645,1.364246226661368
V_mINS,0.9799888242168231,1.364246226661368
K_PDX1_INS,2.794447300510421,1.364246226661368
K_MAFA_INS,2.224007376807447,1.364246226661368
