parameters,Values,Cost
AKT,3.928912197373644,1.3479135936321949
AKTp,3.5231483728999566,1.3479135936321949
GSK3,2.8857660218526107,1.3479135936321949
GSK3p,3.7651631165447252,1.3479135936321949
JNK,4.521073156634214,1.3479135936321949
JNKp,1.3321685118687783,1.3479135936321949
p38,4.739244356411082,1.3479135936321949
p38p,3.3207422526016974,1.3479135936321949
FOXO1,3.0737249561509103,1.3479135936321949
FOXO1p,3.8541950279715462,1.3479135936321949
PDX1,3.2930387168414703,1.3479135936321949
MAFA,3.341158711479111,1.3479135936321949
k_AKT,4.840930849053959,1.3479135936321949
k_AKTp,0.1515465413392119,1.3479135936321949
k_AKT_JNK,0.2734169795492742,1.3479135936321949
k_GSK3,0.35406509738459047,1.3479135936321949
k_GSK3p,0.9235332520287857,1.3479135936321949
k_JNK_ROS,4.741662439222066,1.3479135936321949
k_JNK_upr,4.412899925195336,1.3479135936321949
k_p38_ROS,3.3339945939246776,1.3479135936321949
k_p38_upr,5.425755021760603,1.3479135936321949
k_MAPKp,1.4548763426616798,1.3479135936321949
k_FOXO1_AKTp,1.9560108506616178,1.3479135936321949
k_FOXO1p_MAPKp,0.8401027351978707,1.3479135936321949
V_mPDX1,1.5926581982730428,1.3479135936321949
K_MAFA_PDX1,2.381501863658833,1.3479135936321949
K_FOXO1_PDX1,3.1084609819625126,1.3479135936321949
k_PDX1_FOXO1_efflux,0.1580723706004254,1.3479135936321949
k_GSK3_PDX1_pdeg,0.09956427037391509,1.3479135936321949
V_mMAFA,1.2282461940604306,1.3479135936321949
K_PDX1_MAFA,2.391597053745025,1.3479135936321949
K_FOXO1_MAFA,0.5476643258457269,1.3479135936321949
k_ROS_MAFA,0.05808141083987551,1.3479135936321949
k_GSK3_MAFA_pdeg,0.005643187338708388,1.3479135936321949
V_mINS,1.3665366323829524,1.3479135936321949
K_PDX1_INS,2.1342834803617077,1.3479135936321949
K_MAFA_INS,2.7340829604516923,1.3479135936321949
