parameters,Values,Cost
AKT,3.8141960185845227,1.3149714409048496
AKTp,3.034047596648377,1.3149714409048496
GSK3,2.267908910427609,1.3149714409048496
GSK3p,3.70202575369665,1.3149714409048496
JNK,4.813615005628443,1.3149714409048496
JNKp,1.545363831236149,1.3149714409048496
p38,4.917557567878955,1.3149714409048496
p38p,3.162866114517706,1.3149714409048496
FOXO1,3.43324080321807,1.3149714409048496
FOXO1p,3.6064644268698816,1.3149714409048496
PDX1,3.3506183089612374,1.3149714409048496
MAFA,3.8901264065890464,1.3149714409048496
k_AKT,3.529618436388682,1.3149714409048496
k_AKTp,0.24294299620482307,1.3149714409048496
k_AKT_JNK,0.21752392741858598,1.3149714409048496
k_GSK3,0.3884933727436687,1.3149714409048496
k_GSK3p,0.7791877410607961,1.3149714409048496
k_JNK_ROS,4.675147867658953,1.3149714409048496
k_JNK_upr,4.329107056056766,1.3149714409048496
k_p38_ROS,3.504782183149766,1.3149714409048496
k_p38_upr,4.949198349477379,1.3149714409048496
k_MAPKp,1.79998114028582,1.3149714409048496
k_FOXO1_AKTp,1.6317487443838041,1.3149714409048496
k_FOXO1p_MAPKp,1.233778750413107,1.3149714409048496
V_mPDX1,1.6678352359559958,1.3149714409048496
K_MAFA_PDX1,2.5193208740323003,1.3149714409048496
K_FOXO1_PDX1,3.1083074916494766,1.3149714409048496
k_PDX1_FOXO1_efflux,0.1527149205170142,1.3149714409048496
k_GSK3_PDX1_pdeg,0.09412564220994148,1.3149714409048496
V_mMAFA,1.866789282739222,1.3149714409048496
K_PDX1_MAFA,2.5187359498937854,1.3149714409048496
K_FOXO1_MAFA,0.5514710718166419,1.3149714409048496
k_ROS_MAFA,0.06708485678158702,1.3149714409048496
k_GSK3_MAFA_pdeg,0.0023613286676237195,1.3149714409048496
V_mINS,1.5683742357644244,1.3149714409048496
K_PDX1_INS,2.1076259302789264,1.3149714409048496
K_MAFA_INS,2.5522706366629495,1.3149714409048496
