parameters,Values,Cost
AKT,3.56024835032522,1.3539275139954559
AKTp,2.9131190823182638,1.3539275139954559
GSK3,2.1700043316133586,1.3539275139954559
GSK3p,2.6027181985679704,1.3539275139954559
JNK,4.2460627641599595,1.3539275139954559
JNKp,1.2591249113369707,1.3539275139954559
p38,4.686488786374018,1.3539275139954559
p38p,3.3058947377585777,1.3539275139954559
FOXO1,3.5005797913502668,1.3539275139954559
FOXO1p,3.8055837309655627,1.3539275139954559
PDX1,3.3971135066280005,1.3539275139954559
MAFA,3.770889478630148,1.3539275139954559
k_AKT,4.6594231902922045,1.3539275139954559
k_AKTp,0.4495321722550604,1.3539275139954559
k_AKT_JNK,0.27281222632888463,1.3539275139954559
k_GSK3,0.39576928209773904,1.3539275139954559
k_GSK3p,0.9530481759846877,1.3539275139954559
k_JNK_ROS,4.502297784410193,1.3539275139954559
k_JNK_upr,4.350390897165057,1.3539275139954559
k_p38_ROS,2.9855802384811123,1.3539275139954559
k_p38_upr,4.599952931177459,1.3539275139954559
k_MAPKp,1.3590914944790236,1.3539275139954559
k_FOXO1_AKTp,1.6392464720261823,1.3539275139954559
k_FOXO1p_MAPKp,1.2679537181316116,1.3539275139954559
V_mPDX1,1.156316483763328,1.3539275139954559
K_MAFA_PDX1,2.805659342830887,1.3539275139954559
K_FOXO1_PDX1,3.102378328457895,1.3539275139954559
k_PDX1_FOXO1_efflux,0.09386166957719021,1.3539275139954559
k_GSK3_PDX1_pdeg,0.09782663856723929,1.3539275139954559
V_mMAFA,2.369630499552075,1.3539275139954559
K_PDX1_MAFA,2.3291199302162626,1.3539275139954559
K_FOXO1_MAFA,0.9379063518339326,1.3539275139954559
k_ROS_MAFA,0.06905809488543317,1.3539275139954559
k_GSK3_MAFA_pdeg,0.006852104068503189,1.3539275139954559
V_mINS,1.19385683383393,1.3539275139954559
K_PDX1_INS,1.9238078562055594,1.3539275139954559
K_MAFA_INS,2.382402179396182,1.3539275139954559
