parameters,Values,Cost
AKT,3.9044836320465754,1.3307537218468446
AKTp,3.6724767983204423,1.3307537218468446
GSK3,3.5871787856936463,1.3307537218468446
GSK3p,3.4001061446389986,1.3307537218468446
JNK,4.712019927983551,1.3307537218468446
JNKp,1.7481631037485441,1.3307537218468446
p38,4.676863550468496,1.3307537218468446
p38p,3.5438916679776318,1.3307537218468446
FOXO1,3.1243581564173164,1.3307537218468446
FOXO1p,3.7813215824364583,1.3307537218468446
PDX1,3.1712277101804576,1.3307537218468446
MAFA,3.2910019322012065,1.3307537218468446
k_AKT,4.453591554844447,1.3307537218468446
k_AKTp,0.24516014988492627,1.3307537218468446
k_AKT_JNK,0.28180079302158584,1.3307537218468446
k_GSK3,0.24821408074906706,1.3307537218468446
k_GSK3p,0.8459111168484997,1.3307537218468446
k_JNK_ROS,4.809706945825874,1.3307537218468446
k_JNK_upr,4.56047195673213,1.3307537218468446
k_p38_ROS,4.789655983910643,1.3307537218468446
k_p38_upr,4.196244459973453,1.3307537218468446
k_MAPKp,1.9248090774296878,1.3307537218468446
k_FOXO1_AKTp,1.9906149048530803,1.3307537218468446
k_FOXO1p_MAPKp,1.295839373777561,1.3307537218468446
V_mPDX1,1.2969955068624353,1.3307537218468446
K_MAFA_PDX1,1.4260311004908206,1.3307537218468446
K_FOXO1_PDX1,3.1440339059637483,1.3307537218468446
k_PDX1_FOXO1_efflux,0.12292866529146142,1.3307537218468446
k_GSK3_PDX1_pdeg,0.09217111771667803,1.3307537218468446
V_mMAFA,1.1902891998038967,1.3307537218468446
K_PDX1_MAFA,2.652104835031926,1.3307537218468446
K_FOXO1_MAFA,0.7046260363746701,1.3307537218468446
k_ROS_MAFA,0.048600514417144504,1.3307537218468446
k_GSK3_MAFA_pdeg,0.007629083967290952,1.3307537218468446
V_mINS,1.9455368153523065,1.3307537218468446
K_PDX1_INS,2.534624818370401,1.3307537218468446
K_MAFA_INS,2.8504129447858,1.3307537218468446
