parameters,Values,Cost
AKT,3.6607901207246996,1.3338919786006758
AKTp,2.7959671653610245,1.3338919786006758
GSK3,3.610656904369095,1.3338919786006758
GSK3p,3.716438080959916,1.3338919786006758
JNK,4.576167618769293,1.3338919786006758
JNKp,1.1659061494960021,1.3338919786006758
p38,4.630061144523363,1.3338919786006758
p38p,3.4989705670276066,1.3338919786006758
FOXO1,3.0738378935918678,1.3338919786006758
FOXO1p,3.4328254515008574,1.3338919786006758
PDX1,3.629277385104067,1.3338919786006758
MAFA,3.3194360542898957,1.3338919786006758
k_AKT,4.7088966485872215,1.3338919786006758
k_AKTp,0.43561011389214116,1.3338919786006758
k_AKT_JNK,0.22699248609076525,1.3338919786006758
k_GSK3,0.3086344355567809,1.3338919786006758
k_GSK3p,0.861002702680973,1.3338919786006758
k_JNK_ROS,4.834359480301454,1.3338919786006758
k_JNK_upr,4.160560974707761,1.3338919786006758
k_p38_ROS,3.4074937048931586,1.3338919786006758
k_p38_upr,4.320311040033119,1.3338919786006758
k_MAPKp,1.6549533965291954,1.3338919786006758
k_FOXO1_AKTp,1.9480754607228952,1.3338919786006758
k_FOXO1p_MAPKp,0.6302417879444835,1.3338919786006758
V_mPDX1,1.3486604427083722,1.3338919786006758
K_MAFA_PDX1,2.29493990596785,1.3338919786006758
K_FOXO1_PDX1,3.965935857934589,1.3338919786006758
k_PDX1_FOXO1_efflux,0.10021379802349675,1.3338919786006758
k_GSK3_PDX1_pdeg,0.09468436596941593,1.3338919786006758
V_mMAFA,1.379126905308333,1.3338919786006758
K_PDX1_MAFA,2.708070744592195,1.3338919786006758
K_FOXO1_MAFA,0.14791303129913322,1.3338919786006758
k_ROS_MAFA,0.08410972060615741,1.3338919786006758
k_GSK3_MAFA_pdeg,0.007348114525264301,1.3338919786006758
V_mINS,1.0143021210913954,1.3338919786006758
K_PDX1_INS,2.6677215813787774,1.3338919786006758
K_MAFA_INS,2.528256175774713,1.3338919786006758
